Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G
211,Charlie Garner\GarnCh00,2000,28,2-42,SFO,NFL,16,15,258,1142,4.43,7,71.4
212,Frank Gore\GoreFr00,2012,29,3-65,SFO,NFL,16,16,258,1214,4.71,8,75.9
213,Steven Jackson\JackSt00,2012,29,1-24,STL,NFL,16,16,258,1045,4.05,4,65.3
214,Julius Jones\JoneJu01,2005,24,2-43,DAL,NFL,13,12,257,993,3.86,5,76.4
215,Ray Rice\RiceRa00,2012,25,2-55,BAL,NFL,16,16,257,1143,4.45,9,71.4
216,Michael Bush\BushMi00,2011,27,4-100,OAK,NFL,16,9,256,977,3.82,7,61.1
217,Michael Bennett\BennMi00,2002,24,1-27,MIN,NFL,16,16,255,1296,5.08,5,81.0
218,Frank Gore\GoreFr00,2014,31,3-65,SFO,NFL,16,16,255,1106,4.34,4,69.1
219,Willie Parker\ParkWi00,2005,25,,PIT,NFL,15,15,255,1202,4.71,4,80.1
220,Melvin Gordon\GordMe00,2016,23,1-15,SDG,NFL,13,11,254,997,3.93,10,76.7
221,Steven Jackson\JackSt00,2005,22,1-24,STL,NFL,15,15,254,1046,4.12,8,69.7
222,Ray Rice\RiceRa00,2009,22,2-55,BAL,NFL,16,15,254,1339,5.27,7,83.7
223,Emmitt Smith*\SmitEm00,2002,33,1-17,DAL,NFL,16,16,254,975,3.84,5,60.9
224,Marshall Faulk*\FaulMa00,2000,27,1-2,STL,NFL,14,14,253,1359,5.37,18,97.1
225,Shonn Greene\GreeSh00,2011,26,3-65,NYJ,NFL,16,15,253,1054,4.17,6,65.9
226,Steven Jackson\JackSt00,2008,25,1-24,STL,NFL,12,11,253,1042,4.12,7,86.8
227,Shaun Alexander\AlexSh00,2006,29,1-19,SEA,NFL,10,10,252,896,3.56,7,89.6
228,Garrison Hearst\HearGa00,2001,30,1-3,SFO,NFL,16,16,252,1206,4.79,4,75.4
229,Jordan Howard\HowaJo00,2016,22,5-150,CHI,NFL,15,13,252,1313,5.21,6,87.5
230,Antowain Smith\SmitAn00,2002,30,1-23,NWE,NFL,16,15,252,982,3.90,6,61.4
231,Chris Johnson\JohnCh04,2008,23,1-24,TEN,NFL,15,14,251,1228,4.89,9,81.9
232,Jerome Bettis*\BettJe00,2004,32,1-10,PIT,NFL,15,6,250,941,3.76,13,62.7
233,Marshawn Lynch\LyncMa00,2008,22,1-12,BUF,NFL,15,15,250,1036,4.14,8,69.1
234,Zac Stacy\StacZa00,2013,22,5-160,STL,NFL,14,12,250,973,3.89,7,69.5
235,Willis McGahee\McGaWi00,2011,30,1-23,DEN,NFL,15,14,249,1199,4.82,4,79.9
236,Warrick Dunn\DunnWa00,2000,25,1-12,TAM,NFL,16,14,248,1133,4.57,8,70.8
237,Matt Forte\FortMa00,2012,27,2-44,CHI,NFL,15,15,248,1094,4.41,5,72.9
238,Ricky Williams\WillRi00,2000,23,1-5,NOR,NFL,10,10,248,1000,4.03,8,100.0
239,DeShaun Foster\FostDe00,2007,27,2-34,CAR,NFL,16,16,247,876,3.55,3,54.8
240,Chris Ivory\IvorCh00,2015,27,,NYJ,NFL,15,14,247,1070,4.33,7,71.3
241,Knowshon Moreno\MoreKn00,2009,22,1-12,DEN,NFL,16,9,247,947,3.83,7,59.2
242,Jerome Bettis*\BettJe00,2003,31,1-10,PIT,NFL,16,10,246,811,3.30,7,50.7
243,Eddie Lacy\LacyEd00,2014,24,2-61,GNB,NFL,16,16,246,1139,4.63,9,71.2
244,C.J. Anderson\AndeC.00,2017,26,,DEN,NFL,16,16,245,1007,4.11,3,62.9
245,Ladell Betts\BettLa00,2006,27,2-56,WAS,NFL,16,9,245,1154,4.71,4,72.1
246,Thomas Jones\JoneTh00,2010,32,1-7,KAN,NFL,16,10,245,896,3.66,6,56.0
247,Beanie Wells\WellCh00,2011,23,1-31,ARI,NFL,14,14,245,1047,4.27,10,74.8
248,Kevan Barlow\BarlKe00,2004,25,3-80,SFO,NFL,15,14,244,822,3.37,7,54.8
249,Le'Veon Bell\BellLe00,2013,21,2-48,PIT,NFL,13,13,244,860,3.52,8,66.2
250,Deuce McAllister\McAlDe00,2006,28,1-23,NOR,NFL,15,13,244,1057,4.33,10,70.5
251,Anthony Thomas\ThomAn01,2003,26,2-38,CHI,NFL,13,13,244,1024,4.20,6,78.8
252,William Green\GreeWi01,2002,23,1-16,CLE,NFL,16,10,243,887,3.65,6,55.4
253,Ezekiel Elliott\ElliEz00,2017,22,1-4,DAL,NFL,10,10,242,983,4.06,7,98.3
254,Rashard Mendenhall\MendRa00,2009,22,1-23,PIT,NFL,16,12,242,1108,4.58,7,69.3
255,Jonathan Stewart\StewJo00,2015,28,1-13,CAR,NFL,13,13,242,989,4.09,6,76.1
256,Ronnie Brown\BrowRo05,2006,25,1-2,MIA,NFL,13,12,241,1008,4.18,5,77.5
257,Kevin Jones\JoneKe02,2004,22,1-30,DET,NFL,15,14,241,1133,4.70,5,75.5
258,Knowshon Moreno\MoreKn00,2013,26,1-12,DEN,NFL,16,15,241,1038,4.31,10,64.9
259,Michael Pittman\PittMi00,2001,26,4-95,ARI,NFL,15,14,241,846,3.51,5,56.4
260,Ricky Williams\WillRi00,2009,32,1-5,MIA,NFL,16,7,241,1121,4.65,11,70.1
261,Frank Gore\GoreFr00,2008,25,3-65,SFO,NFL,14,14,240,1036,4.32,6,74.0
262,Carlos Hyde\HydeCa00,2017,27,2-57,SFO,NFL,16,16,240,938,3.91,8,58.6
263,Thomas Jones\JoneTh00,2004,26,1-7,CHI,NFL,14,14,240,948,3.95,7,67.7
264,Brian Westbrook\WestBr00,2006,27,3-91,PHI,NFL,15,14,240,1217,5.07,7,81.1
265,Mike Anderson\AndeMi00,2005,32,6-189,DEN,NFL,15,15,239,1014,4.24,12,67.6
266,Darren McFadden\McFaDa00,2015,28,1-4,DAL,NFL,16,10,239,1089,4.56,3,68.1
267,Marion Barber\BarbMa01,2008,25,4-109,DAL,NFL,15,13,238,885,3.72,7,59.0
268,Lamar Miller\MillLa01,2017,26,4-97,HOU,NFL,16,13,238,888,3.73,3,55.5
269,Adrian Peterson\PeteAd01,2007,22,1-7,MIN,NFL,14,9,238,1341,5.63,12,95.8
270,Kevin Smith\SmitKe02,2008,22,3-64,DET,NFL,16,12,238,976,4.10,8,61.0
271,Domanick Williams\DaviDo01,2003,23,4-101,HOU,NFL,14,10,238,1031,4.33,8,73.6
272,Matt Forte\FortMa00,2010,25,2-44,CHI,NFL,16,16,237,1069,4.51,6,66.8
273,Fred Jackson\JackFr02,2009,28,,BUF,NFL,16,11,237,1062,4.48,2,66.4
274,Steven Jackson\JackSt00,2007,24,1-24,STL,NFL,12,12,237,1002,4.23,5,83.5
275,Maurice Smith\SmitMa00,2001,25,,ATL,NFL,16,12,237,760,3.21,5,47.5
276,Justin Forsett\ForsJu00,2014,29,7-233,BAL,NFL,16,14,235,1266,5.39,8,79.1
277,Jamal Lewis\LewiJa00,2004,25,1-5,BAL,NFL,12,12,235,1006,4.28,7,83.8
278,Maurice Jones-Drew\DrewMa00,2013,28,2-60,JAX,NFL,15,15,234,803,3.43,5,53.5
279,LeSean McCoy\McCoLe01,2016,28,2-53,BUF,NFL,15,15,234,1267,5.41,13,84.5
280,Tatum Bell\BellTa00,2006,25,2-41,DEN,NFL,13,13,233,1025,4.40,2,78.8
281,Dominic Rhodes\RhodDo00,2001,22,,IND,NFL,15,10,233,1104,4.74,9,73.6
282,Brian Westbrook\WestBr00,2008,29,3-91,PHI,NFL,14,14,233,936,4.02,9,66.9
283,Le'Ron McClain\McClLe00,2008,24,4-137,BAL,NFL,16,16,232,902,3.89,10,56.4
284,Tyrone Wheatley\WheaTy00,2000,28,1-17,OAK,NFL,14,13,232,1046,4.51,9,74.7
285,James Stewart\StewJa00,2002,31,1-19,DET,NFL,14,9,231,1021,4.42,4,72.9
286,Fred Taylor\TaylFr00,2006,30,1-9,JAX,NFL,15,15,231,1146,4.96,5,76.4
287,Jamaal Charles\CharJa00,2010,24,3-73,KAN,NFL,16,6,230,1467,6.38,5,91.7
288,Warrick Dunn\DunnWa00,2002,27,1-12,ATL,NFL,15,14,230,927,4.03,7,61.8
289,Mark Ingram\IngrMa01,2017,28,1-28,NOR,NFL,16,13,230,1124,4.89,12,70.3
290,Domanick Williams\DaviDo01,2005,25,4-101,HOU,NFL,11,11,230,976,4.24,2,88.7
291,Frank Gore\GoreFr00,2009,26,3-65,SFO,NFL,14,14,229,1120,4.89,10,80.0
292,BenJarvus Green-Ellis\GreeBe00,2010,25,,NWE,NFL,16,11,229,1008,4.40,13,63.0
293,Todd Gurley\GurlTo01,2015,21,1-10,STL,NFL,13,12,229,1106,4.83,10,85.1
294,Ron Dayne\DaynRo00,2000,22,1-11,NYG,NFL,16,4,228,770,3.38,5,48.1
295,Rashard Mendenhall\MendRa00,2011,24,1-23,PIT,NFL,15,15,228,928,4.07,9,61.9
296,Marcel Shipp\ShipMa00,2003,25,,ARI,NFL,16,11,228,830,3.64,0,51.9
297,Reggie Bush\BushRe00,2012,27,1-2,MIA,NFL,16,16,227,986,4.34,6,61.6
298,Warrick Dunn\DunnWa00,2007,32,1-12,ATL,NFL,16,15,227,720,3.17,4,45.0
299,DeShaun Foster\FostDe00,2006,26,2-34,CAR,NFL,14,14,227,897,3.95,3,64.1
300,Devonta Freeman\FreeDe00,2016,24,4-103,ATL,NFL,16,16,227,1079,4.75,11,67.4
301,Joseph Addai\AddaJo00,2006,23,1-30,IND,NFL,16,0,226,1081,4.78,7,67.6
302,Mark Ingram\IngrMa01,2014,25,1-28,NOR,NFL,13,9,226,964,4.27,9,74.2
303,Jerome Bettis*\BettJe00,2001,29,1-10,PIT,NFL,11,11,225,1072,4.76,4,97.5
304,Cadillac Williams\WillCa02,2006,24,1-5,TAM,NFL,14,14,225,798,3.55,1,57.0
305,Chris Brown\BrowCh03,2005,24,3-93,TEN,NFL,15,14,224,851,3.80,5,56.7
306,Brandon Jacobs\JacoBr00,2009,27,4-110,NYG,NFL,15,15,224,835,3.73,5,55.7
307,Joique Bell\BellJo01,2014,28,,DET,NFL,15,6,223,860,3.86,7,57.3
308,Reggie Bush\BushRe00,2013,28,1-2,DET,NFL,14,14,223,1006,4.51,4,71.9
309,Jeremy Hill\HillJe01,2015,23,2-55,CIN,NFL,16,15,223,794,3.56,11,49.6
310,Darren McFadden\McFaDa00,2010,23,1-4,OAK,NFL,13,13,223,1157,5.19,7,89.0
311,Fred Taylor\TaylFr00,2007,31,1-9,JAX,NFL,15,15,223,1202,5.39,5,80.1
312,LaDainian Tomlinson*\TomlLa00,2009,30,1-5,SDG,NFL,14,14,223,730,3.27,12,52.1
313,Justin Fargas\FargJu00,2007,27,3-96,OAK,NFL,14,7,222,1009,4.55,4,72.1
314,Earnest Graham\GrahEa00,2007,27,,TAM,NFL,15,10,222,898,4.05,10,59.9
315,Jeremy Hill\HillJe01,2014,22,2-55,CIN,NFL,16,8,222,1124,5.06,9,70.3
316,Jeremy Hill\HillJe01,2016,24,2-55,CIN,NFL,15,13,222,839,3.78,9,55.9
317,Fred Jackson\JackFr02,2010,29,,BUF,NFL,16,13,222,927,4.18,5,57.9
318,Ryan Mathews\MathRy00,2011,24,1-12,SDG,NFL,14,14,222,1091,4.91,6,77.9
319,Michael Turner\TurnMi00,2012,30,5-154,ATL,NFL,16,16,222,800,3.60,10,50.0
320,Ahmad Bradshaw\BradAh00,2012,26,7-250,NYG,NFL,14,12,221,1015,4.59,6,72.5
321,Jonathan Stewart\StewJo00,2009,22,1-13,CAR,NFL,16,3,221,1133,5.13,10,70.8
322,Chris Brown\BrowCh03,2004,23,3-93,TEN,NFL,11,11,220,1067,4.85,6,97.0
323,Reuben Droughns\DrouRe00,2006,28,3-81,CLE,NFL,14,12,220,758,3.45,4,54.1
324,BenJarvus Green-Ellis\GreeBe00,2013,28,,CIN,NFL,16,16,220,756,3.44,7,47.3
325,Curtis Martin*\MartCu00,2005,32,3-74,NYJ,NFL,12,12,220,735,3.34,5,61.3
326,Joseph Addai\AddaJo00,2009,26,1-30,IND,NFL,15,15,219,828,3.78,10,55.2
327,Brandon Jacobs\JacoBr00,2008,26,4-110,NYG,NFL,13,13,219,1089,4.97,15,83.8
328,Michael Pittman\PittMi00,2004,29,4-95,TAM,NFL,13,13,219,926,4.23,7,71.2
329,LaDainian Tomlinson*\TomlLa00,2010,31,1-5,NYJ,NFL,15,13,219,914,4.17,6,60.9
330,Justin Fargas\FargJu00,2008,28,3-96,OAK,NFL,14,14,218,853,3.91,1,60.9
331,Matt Forte\FortMa00,2016,31,2-44,NYJ,NFL,14,13,218,813,3.73,7,58.1
332,Matt Forte\FortMa00,2015,30,2-44,CHI,NFL,13,13,218,898,4.12,4,69.1
333,Jonathan Stewart\StewJo00,2016,29,1-13,CAR,NFL,13,13,218,824,3.78,9,63.4
334,Nick Goings\GoinNi00,2004,26,,CAR,NFL,16,8,217,821,3.78,6,51.3
335,Carlos Hyde\HydeCa00,2016,26,2-57,SFO,NFL,13,13,217,988,4.55,6,76.0
336,Rashard Mendenhall\MendRa00,2013,26,1-23,ARI,NFL,15,15,217,687,3.17,8,45.8
337,DeMarco Murray\MurrDe00,2013,25,3-71,DAL,NFL,14,14,217,1121,5.17,9,80.1
338,Kevin Smith\SmitKe02,2009,23,3-64,DET,NFL,13,13,217,747,3.44,4,57.5
339,Andre Williams\WillAn00,2014,22,4-113,NYG,NFL,16,7,217,721,3.32,7,45.1
340,Reggie Bush\BushRe00,2011,26,1-2,MIA,NFL,15,15,216,1086,5.03,6,72.4
341,Darren McFadden\McFaDa00,2012,25,1-4,OAK,NFL,12,12,216,707,3.27,2,58.9
342,Lamar Miller\MillLa01,2014,23,4-97,MIA,NFL,16,16,216,1099,5.09,8,68.7
343,Latavius Murray\MurrLa00,2017,27,6-181,MIN,NFL,16,11,216,842,3.90,8,52.6
344,DeAngelo Williams\WillDe02,2009,26,1-27,CAR,NFL,13,13,216,1117,5.17,7,85.9
345,Garrison Hearst\HearGa00,2002,31,1-3,SFO,NFL,16,16,215,972,4.52,8,60.8
346,Rudi Johnson\JohnRu00,2003,24,4-100,CIN,NFL,13,5,215,957,4.45,9,73.6
347,Mikel Leshoure\LeshMi00,2012,22,2-57,DET,NFL,14,14,215,798,3.71,9,57.0
348,Marion Barber\BarbMa01,2009,26,4-109,DAL,NFL,15,15,214,932,4.36,7,62.1
349,Cedric Benson\BensCe00,2008,26,1-4,CIN,NFL,12,10,214,747,3.49,2,62.3
350,Ronnie Brown\BrowRo05,2008,27,1-2,MIA,NFL,16,13,214,916,4.28,10,57.3
351,Ray Rice\RiceRa00,2013,26,2-55,BAL,NFL,15,15,214,660,3.08,4,44.0
352,Anthony Thomas\ThomAn01,2002,25,2-38,CHI,NFL,12,12,214,721,3.37,6,60.1
353,Spencer Ware\WareSp00,2016,25,6-194,KAN,NFL,14,14,214,921,4.30,3,65.8
354,Tiki Barber\BarbTi00,2000,25,2-36,NYG,NFL,16,12,213,1006,4.72,8,62.9
355,Travis Henry\HenrTr00,2001,23,2-58,BUF,NFL,13,12,213,729,3.42,4,56.1
356,Stacey Mack\MackSt00,2001,26,,JAX,NFL,16,11,213,877,4.12,9,54.8
357,Alex Collins\CollAl00,2017,23,5-171,BAL,NFL,15,12,212,973,4.59,6,64.9
358,Marshall Faulk*\FaulMa00,2002,29,1-2,STL,NFL,14,10,212,953,4.50,8,68.1
359,Vick Ballard\BallVi00,2012,22,5-170,IND,NFL,16,12,211,814,3.86,2,50.9
360,Charlie Garner\GarnCh00,2001,29,2-42,OAK,NFL,16,16,211,839,3.98,1,52.4
361,Cadillac Williams\WillCa02,2009,27,1-5,TAM,NFL,16,15,211,823,3.90,4,51.4
362,Willie Parker\ParkWi00,2008,28,,PIT,NFL,11,11,210,791,3.77,5,71.9
363,Corey Dillon\DillCo00,2005,31,2-43,NWE,NFL,12,10,209,733,3.51,12,61.1
364,Marshall Faulk*\FaulMa00,2003,30,1-2,STL,NFL,11,11,209,818,3.91,10,74.4
365,Lamar Smith\SmitLa00,2002,32,3-73,CAR,NFL,11,11,209,737,3.53,7,67.0
366,Jay Ajayi\AjayJa00,2017,24,5-149,2TM,NFL,14,8,208,873,4.20,1,62.4
367,Adrian Peterson\PeteAd01,2011,26,1-7,MIN,NFL,12,12,208,970,4.66,12,80.8
368,Shaun Alexander\AlexSh00,2007,30,1-19,SEA,NFL,13,10,207,716,3.46,4,55.1
369,Ronnie Brown\BrowRo05,2005,24,1-2,MIA,NFL,15,14,207,907,4.38,4,60.5
370,Stephen Davis\DaviSt00,2002,28,4-102,WAS,NFL,12,12,207,820,3.96,7,68.3
371,Ronnie Hillman\HillRo00,2015,24,3-67,DEN,NFL,16,11,207,863,4.17,7,53.9
372,Marshawn Lynch\LyncMa00,2017,31,1-12,OAK,NFL,15,15,207,891,4.30,7,59.4
373,LeSean McCoy\McCoLe01,2010,22,2-53,PHI,NFL,15,13,207,1080,5.22,7,72.0
374,C.J. Spiller\SpilC.00,2012,25,1-9,BUF,NFL,16,9,207,1244,6.01,6,77.8
375,Jamaal Charles\CharJa00,2014,28,3-73,KAN,NFL,15,15,206,1033,5.01,9,68.9
376,Isaiah Crowell\CrowIs00,2017,24,,CLE,NFL,16,16,206,853,4.14,2,53.3
377,Fred Jackson\JackFr02,2013,32,,BUF,NFL,16,6,206,890,4.32,9,55.6
378,DeShaun Foster\FostDe00,2005,25,2-34,CAR,NFL,15,5,205,879,4.29,2,58.6
379,Mark Ingram\IngrMa01,2016,27,1-28,NOR,NFL,16,14,205,1043,5.09,6,65.2
380,Marion Barber\BarbMa01,2007,24,4-109,DAL,NFL,16,0,204,975,4.78,10,60.9
381,Michael Pittman\PittMi00,2002,27,4-95,TAM,NFL,16,15,204,718,3.52,1,44.9
382,Matt Forte\FortMa00,2011,26,2-44,CHI,NFL,12,12,203,997,4.91,3,83.1
383,Frank Gore\GoreFr00,2010,27,3-65,SFO,NFL,11,11,203,853,4.20,3,77.5
384,LeSean McCoy\McCoLe01,2015,27,2-53,BUF,NFL,12,12,203,895,4.41,3,74.6
385,Brandon Jacobs\JacoBr00,2007,25,4-110,NYG,NFL,11,9,202,1009,5.00,4,91.7
386,Marshawn Lynch\LyncMa00,2010,24,1-12,2TM,NFL,16,14,202,737,3.65,6,46.1
387,Alfred Morris\MorrAl00,2015,27,6-173,WAS,NFL,16,16,202,751,3.72,1,46.9
388,C.J. Spiller\SpilC.00,2013,26,1-9,BUF,NFL,15,10,202,933,4.62,2,62.2
389,Kevan Barlow\BarlKe00,2003,24,3-80,SFO,NFL,16,4,201,1024,5.09,6,64.0
390,LeGarrette Blount\BlouLe00,2010,24,,TAM,NFL,13,7,201,1007,5.01,6,77.5
391,Andre Ellington\ElliAn00,2014,25,6-187,ARI,NFL,12,12,201,660,3.28,3,55.0
392,DeAngelo Williams\WillDe02,2013,30,1-27,CAR,NFL,15,15,201,843,4.19,3,56.2
393,Ronnie Brown\BrowRo05,2010,29,1-2,MIA,NFL,16,16,200,734,3.67,5,45.9
394,LeSean McCoy\McCoLe01,2012,24,2-53,PHI,NFL,12,12,200,840,4.20,2,70.0
395,LenDale White\WhitLe01,2008,24,2-45,TEN,NFL,16,2,200,773,3.87,15,48.3
396,DeAngelo Williams\WillDe02,2015,32,1-27,PIT,NFL,16,10,200,907,4.54,11,56.7
397,Corey Dillon\DillCo00,2006,32,2-43,NWE,NFL,16,13,199,812,4.08,13,50.8
398,Lee Suggs\SuggLe00,2004,24,4-115,CLE,NFL,10,3,199,744,3.74,2,74.4
399,Isaiah Crowell\CrowIs00,2016,23,,CLE,NFL,16,16,198,952,4.81,7,59.5
400,Chris Ivory\IvorCh00,2014,26,,NYJ,NFL,16,10,198,821,4.15,6,51.3
401,Jonathan Stewart\StewJo00,2017,30,1-13,CAR,NFL,15,10,198,680,3.43,6,45.3
402,T.J. Duckett\DuckT.00,2003,22,1-18,ATL,NFL,16,10,197,779,3.95,11,48.7
403,Julius Jones\JoneJu01,2004,23,2-43,DAL,NFL,8,7,197,819,4.16,7,102.4
404,Maurice Jones-Drew\DrewMa00,2008,23,2-60,JAX,NFL,16,3,197,824,4.18,12,51.5
405,Jonathan Wells\WellJo00,2002,23,4-99,HOU,NFL,16,11,197,529,2.69,3,33.1
406,Cedric Benson\BensCe00,2007,25,1-4,CHI,NFL,11,11,196,674,3.44,4,61.3
407,Devonta Freeman\FreeDe00,2017,25,4-103,ATL,NFL,14,14,196,865,4.41,7,61.8
408,Priest Holmes\HolmPr00,2004,31,,KAN,NFL,8,8,196,892,4.55,14,111.5
409,Chris Johnson\JohnCh04,2015,30,1-24,ARI,NFL,11,9,196,814,4.15,3,74.0
410,Marshall Faulk*\FaulMa00,2004,31,1-2,STL,NFL,14,14,195,774,3.97,3,55.3
411,James Jackson\JackJa00,2001,25,3-65,CLE,NFL,11,10,195,554,2.84,2,50.4
412,Rashad Jennings\JennRa00,2015,30,7-250,NYG,NFL,16,16,195,863,4.43,3,53.9
413,Latavius Murray\MurrLa00,2016,26,6-181,OAK,NFL,14,12,195,788,4.04,12,56.3
414,Ron Dayne\DaynRo00,2007,29,1-11,HOU,NFL,13,8,194,773,3.98,6,59.5
415,Jerome Harrison\HarrJe00,2009,26,5-145,CLE,NFL,14,7,194,862,4.44,5,61.6
416,Laurence Maroney\MaroLa00,2009,24,1-21,NWE,NFL,15,5,194,757,3.90,9,50.5
417,Lamar Miller\MillLa01,2015,24,4-97,MIA,NFL,16,16,194,872,4.49,8,54.5
418,Fred Taylor\TaylFr00,2005,29,1-9,JAX,NFL,11,11,194,787,4.06,3,71.5
419,Larry Johnson\JohnLa00,2008,29,1-27,KAN,NFL,12,12,193,874,4.53,5,72.8
420,DeMarco Murray\MurrDe00,2015,27,3-71,PHI,NFL,15,8,193,702,3.64,6,46.8
421,Terrance West\WestTe00,2016,25,3-94,BAL,NFL,16,13,193,774,4.01,5,48.4
422,Amos Zereoue\ZereAm00,2002,26,3-95,PIT,NFL,16,5,193,762,3.95,4,47.6
423,Duce Staley\StalDu00,2004,29,3-71,PIT,NFL,10,10,192,830,4.32,1,83.0
